Scenario,Power Station Name,Grouping,Carrier,Unit size (MW),Number units,Capacity (MW),Commissioning Date,Decommissioning Date,Heat Rate (GJ/MWh),CO2 Emissions (kgCO2/MWh),Fuel Price (R/GJ),Max Ramp Up (%/h),Max Ramp Down (%/h),Max Ramp Start Up (%/h),Max Ramp Shut Down (%/h),Min Stable Level (%),Min Up Time (h),Min Down Time (h),Variable O&M Cost (R/MWh),Fixed O&M Cost (R/kW/yr),Unit Start Up Cost (R),Start Up Cost (R),Shut Down Cost (R),GPS Latitude,GPS Longitude,geometry,NAME_1,index_right,name,region
BASE,Arnot*,eskom,coal,350.0,3.0,1050.0,-,2027,12.744,1047.0,45.18,0.345,0.345,0.1725,0.1725,0.65,48.0,48.0,88.3663253697383,1176.01639590444,48745.6446678271,146236.9340034813,0,-25.94444,29.79166,POINT (29.79166 -25.94444),Mpumalanga,6,Mpumalanga,Mpumalanga
BASE,Arnot**,eskom,coal,350.0,3.0,1050.0,-,2029,12.995,1047.0,45.18,0.345,0.345,0.1725,0.1725,0.65,0.0,0.0,88.3663253697383,1176.01639590444,48745.6446678271,146236.9340034813,0,-25.94444,29.79166,POINT (29.79166 -25.94444),Mpumalanga,6,Mpumalanga,Mpumalanga
BASE,Camden*,eskom,coal,190.0,3.0,570.0,-,2024,13.584,1116.0,45.18,0.178378378378378,0.178378378378378,0.089189189189189,0.089189189189189,0.0,0.0,0.0,88.3663253697383,1577.42478498294,18773.643629124,56320.930887372,0,-26.62007,30.09113,POINT (30.09113 -26.62007),Mpumalanga,6,Mpumalanga,Mpumalanga
BASE,Camden**,eskom,coal,182.2,5.0,911.0,-,2025,14.28,1116.0,45.18,0.178378378378378,0.178378378378378,0.089189189189189,0.089189189189189,0.0,0.0,0.0,88.3663253697383,1577.42478498294,18773.643629124,93868.21814561999,0,-26.62007,30.09113,POINT (30.09113 -26.62007),Mpumalanga,6,Mpumalanga,Mpumalanga
BASE,Duvha*,eskom,coal,575.0,2.0,1150.0,-,2033,12.066,991.0,45.18,0.4,0.4,0.2,0.2,0.65,0.0,0.0,88.3663253697383,1126.42919681456,91694.3754266212,183388.7508532424,0,-25.95954,29.34094,POINT (29.34094 -25.95954),Mpumalanga,6,Mpumalanga,Mpumalanga
BASE,Duvha**,eskom,coal,575.0,3.0,1725.0,-,2034,12.066,991.0,45.18,0.4,0.4,0.2,0.2,0.65,0.0,0.0,88.3663253697383,1126.42919681456,91694.3754266212,275083.12627986365,0,-25.95954,29.34094,POINT (29.34094 -25.95954),Mpumalanga,6,Mpumalanga,Mpumalanga
BASE,Grootvlei*,eskom,coal,190.0,2.0,380.0,-,2026,13.79,1133.0,45.18,0.167,0.167,0.0835,0.0835,0.65,0.0,0.0,88.3663253697383,1175.97905802048,23714.1198372924,47428.2396745848,0,-26.76955,28.49951,POINT (28.49951 -26.76955),Mpumalanga,6,Mpumalanga,Mpumalanga
BASE,Grootvlei**,eskom,coal,190.0,1.0,190.0,-,2027,12.744,1133.0,45.18,0.167,0.167,0.0835,0.0835,0.65,48.0,48.0,88.3663253697383,1175.97905802048,23714.1198372924,23714.1198372924,0,-26.76955,28.49951,POINT (28.49951 -26.76955),Mpumalanga,6,Mpumalanga,Mpumalanga
BASE,Hendrina*,eskom,coal,190.0,4.0,760.0,-,2024,13.266,1090.0,45.18,0.333,0.333,0.1665,0.1665,0.0,0.0,0.0,88.3663253697383,1175.98403640501,15018.9149032992,60075.6596131968,0,-26.03138,29.60138,POINT (29.60138 -26.03138),Mpumalanga,6,Mpumalanga,Mpumalanga
BASE,Hendrina**,eskom,coal,169.0,2.0,338.0,-,2025,14.28,1090.0,45.18,0.333,0.333,0.1665,0.1665,0.65,0.0,0.0,88.3663253697383,1175.98403640501,15018.9149032992,30037.8298065984,0,-26.62007,30.09113,POINT (30.09113 -26.62007),Mpumalanga,6,Mpumalanga,Mpumalanga
