overall_hour,national_demand,Eastern Cape_corrected,Limpopo_corrected,Mpumalanga_corrected,Gauteng_corrected,Western Cape_corrected,Northern Cape_corrected,Hydra Central_corrected,Kwazulu Natal_corrected,North West_corrected,Free State_corrected
1,20672.2994407108,885.1322701513726,2247.462794234608,2968.850797757607,5231.222329332438,1907.1221311978384,537.8406468956188,113.6342487773109,3952.559010532307,2281.3926558953794,547.082555936319
2,20497.4309923051,857.2212236280775,2236.2316949885794,2916.695461587234,5182.802847071151,1863.547870758691,543.9145586200559,124.71413989620795,3993.307277623348,2238.7974259980806,540.1984921336723
3,20408.4477494331,832.0422129526011,2200.578157223209,2916.212172233351,5101.479482778057,1836.440455711294,524.2051995227997,226.26319299046725,4002.902257729667,2242.6950373404206,525.6295809512299
4,20600.4782058343,831.0337116646431,2232.0361830877914,2918.267807555763,5174.596456822179,1888.5083603658093,507.40387088395,221.81261910427625,4004.532061227018,2289.1045539026286,533.1825812202425
5,21454.4036471434,892.0526370697102,2267.8207133573646,2990.232970880534,5457.228762989453,1993.6763156070128,519.253790719107,235.1340955367116,4198.038514391623,2333.212833585577,567.7530130063044
6,23277.8164451774,1003.8355350747242,2395.019031909056,3185.5485980622398,5990.193419472721,2193.5073169054945,561.9457131156797,240.1397623174724,4651.403593481926,2427.381006348873,628.8424684892137
7,24527.4487460329,1165.5107578307704,2484.537467906697,3220.637036078676,6323.818029655566,2351.6918848650366,592.2867034051391,230.5078077108074,5033.4465605416735,2474.398770886164,650.6137271523694
8,24734.8946673926,1261.1194148548627,2442.903890885562,3242.875692343073,6344.511015784329,2501.4773311505755,600.953656317193,153.0026714591,5153.002609247882,2382.0709037957267,652.9774815542978
9,25868.4737146494,1389.3533833088086,2566.7207654651884,3329.135032863374,6674.817002980876,2631.041882593141,622.7274608462834,133.53926193977003,5393.485482888251,2446.3637896975065,681.2896520662064
10,26647.413246928,1458.719523009947,2640.2700590622985,3367.1468102659974,6991.474174063324,2766.177516892377,652.360478005668,107.3069876101534,5466.542881666577,2494.174716900065,703.2400994515928
