# GridTwin ZA - DFFE environmental authorisations for renewable projects
# CC BY 4.0 - attribution required. gridtwinza.org
# source fingerprint: gtza-7f4d8068c08bbb07
# NOTE: PERMITS, NOT COMMISSIONING. An authorisation is not a built plant and not a
# grid connection. Permitted capacity exceeds built capacity by roughly ten times.
# Use for LOCATION and intent; use operational_renewable_capacity.csv for what exists.
name,province,technology,mw,status,decided,lat,lng
Proposed Development of the 50 MW Orange River Solar Facility Photovoltaic (PV) Facility 2,Northern Cape,Solar PV,50.0,Approved,2025-06-19,-28.86395,21.99442
"Proposed Renewable Energy Generation Project, known as the Bontle PV Solar Project, and as",Limpopo,Solar PV,600.0,Approved,2025-04-22,-23.01914,29.22877
"Proposed Schoongezicht Solar and BESS Plant on Portion 3, 4, 9, 12, 23 & 37 Of Farm Rondav",Gauteng,Solar PV,700.0,Approved,2025-05-20,-25.44922,28.25186
The proposed Renewable Energy Generation Project on Portion 65 of Farm Tweefontein 462 KR ,Limpopo,Solar PV,240.0,Refused,2025-06-17,-24.85522,28.43704
Proposed Renewable Energy Generation Project on the Remainder and Portion 65 of Farm Tweef,Limpopo,Solar PV,240.0,Approved,2025-06-23,-24.87259,28.41094
Construction of a 250 MW solar photovoltaic (PV) facility (known as Vanderkloof PV 1) loca,Free State,Solar PV,250.0,Approved,2025-07-16,-29.80772,24.79404
The proposed Construction of a 250 MW solar photovoltaic (PV) facility (known as Vanderklo,Free State,Solar PV,250.0,Approved,2025-07-11,-29.80772,24.79404
Construction of a 250 MW solar photovoltaic (PV) facility (known as Vanderkloof PV 3) loca,Free State,Solar PV,250.0,Approved,2025-07-11,-29.80772,24.79404
Construction of a 250 MW solar photovoltaic (PV) facility (known as Vanderkloof PV 4) loca,Free State,Solar PV,250.0,Approved,2025-07-16,-29.80772,24.79404
Construction of a 1000 MW solar photovoltaic (PV) facility (known as Vanderkloof PV 5) loc,Free State,Solar PV,1000.0,Approved,2025-07-11,-29.80772,24.79404
The proposed Tholo Photovoltaic Solar Energy Facility and Associated Infrastructure near L,Limpopo,Solar PV,240.0,Approved,2025-07-17,-23.73239,27.61647
The proposed Letsa Photovoltaic Solar Energy Facility and Associated Infrastructure near L,Limpopo,Solar PV,240.0,Approved,2025-07-11,-23.71062,27.63532
The proposed development of a renewable energy generation on the remainder and portion 1 o,Limpopo,Solar PV,132.0,Approved,2024-11-04,-23.6303,30.11658
"The proposed 300MW Stillfontein 1 Solar PV Facility, near Stilfontein, City of Matlosana L",North West,Solar PV,300.0,Approved,2024-07-22,-26.82023,26.75088
The proposed 150 MW Renewable Energy Generation Project (Photovoltaic Plant) on Portion 28,Mpumalanga,Solar PV,150.0,Approved,2024-09-05,-25.88623,29.09847
"The proposed Mulilo Wind Power 2 Development on Remainder of the Farm Middle Kraal 98, and",Western Cape,Wind,383.0,Approved,2025-02-18,-32.06556,22.46851
The proposed Mulilo Karoo Wind Power Development on Portion 2 of the Farm Matjes Kloof 110,Western Cape,Wind,349.0,Approved,2024-12-13,-32.1243,22.55541
"The proposed Angora wind farm, Northern Cape Province.",Northern Cape,Wind,140.0,Approved,2024-12-10,-31.50409,23.63602
"The development of the Proposed Luckhoff Solar 4 near Luckhoff, within the Letsemeng Local",Free State,Solar PV,240.0,Approved,2024-07-11,-29.66234,25.26816
"The development of the Proposed Luckhoff Solar 5 near Luckhoff, within the Letsemeng Local",Free State,Solar PV,240.0,Approved,2024-07-15,-29.66234,25.26816
"The proposed Kingston Solar Photovoltaic Solar Energy Facility near Bothaville, situated w",Free State,Solar PV,140.0,Approved,2024-08-12,-27.30643,26.77898
The proposed Clear Horizon Solar PV Energy Facility and associated infrastructure within t,Western Cape,Solar PV,250.0,Approved,2025-02-10,-33.98225,18.73441
"The proposed Boshoek Solar 1 PV Facility and associated infrastructure, including a Grid C",North West,Solar PV,20.0,Approved,2024-10-23,-25.44142,27.00458
The proposed Development of Amazamazana Solar PV Facility and Associated Grid Infrastructu,Eastern Cape,Solar PV,50.0,Approved,2024-12-12,-31.78148,25.29092
The proposed Development of Izinyawo Solar PV Facility and Associated Grid Infrastructure ,Eastern Cape,Solar PV,50.0,Refused,2024-12-10,-31.78087,25.29357
The proposed Development of Ingqayi Solar PV Facility and Associated Grid Infrastructure s,Eastern Cape,Solar PV,100.0,Refused,2024-12-06,-31.78851,25.26416
The proposed Mokolo Solar 2 Photovoltaic Solar Energy Facility and Associated Infrastructu,Limpopo,Solar PV,240.0,Approved,2024-10-22,-23.77803,27.34332
"The proposed Glencore Lydenburg Solar Photovoltaic Facility at the Lydenburg Smelter, Thab",Mpumalanga,Solar PV,300.0,Approved,2024-12-12,-25.07222,30.46756
The proposed Imvuselelo Solar Photovoltaic (PV) Facility in the Lekwa Local Municipality o,Mpumalanga,Solar PV,130.0,Approved,2025-01-09,-26.80993,29.44292
The proposed Nalithuba Solar Photovoltaic (PV) Facility in the Lekwa Local Municipality of,Mpumalanga,Solar PV,120.0,Approved,2025-01-09,-26.8159,29.42406
"The Proposed Villiers Solar Power Plant near Villiers, Free State Province_x000D_",Free State,Solar PV,50.0,Approved,2024-12-05,-27.03943,28.58096
The proposed Kuschke Solar Energy Facility with a capacity of up to 360MW and Associated I,Limpopo,Solar PV,360.0,Approved,2025-01-27,-24.06436,29.35076
Scoping and Environmental Impact Assessment (EIA) Process for the Zephyr Wind Energy Facil,Mpumalanga,Wind,400.0,Approved,2025-01-28,-26.64061,29.96
"The proposed Kabelo 100 MW Solar Photovoltaic (PV) Energy Facility, Battery Energy Storage",Free State,Solar PV,100.0,Approved,2024-12-13,-28.45532,26.11
"The proposed Letsha 100 MW Solar Photovoltaic (PV) Energy Facility, Battery Energy Storage",Free State,Solar PV,100.0,Approved,2025-01-29,-28.45532,26.11
The proposed development of the Jupiter Solar PV1 Facility on the Remainder of Roode Kraal,Northern Cape,Solar PV,307.0,Approved,2025-02-05,-30.76107,24.11755
The proposed development of the Hercules Solar PV 1 Facility on the Remainder of the Farm ,Northern Cape,Solar PV,315.0,Approved,2025-02-05,-30.76619,24.1458
The proposed development of the Roode Kraal Solar PV 1 Facility on the Remainder of Roode ,Northern Cape,Solar PV,405.0,Approved,2025-02-05,-30.79893,24.16138
