# GridTwin ZA - transmission substations with coordinates and supply areas
# CC BY 4.0 - attribution required. gridtwinza.org
# source fingerprint: gtza-0fe0a41096f9685a
# NOTE: `planned` marks stations not yet energised. Coordinates are compiled from
# published sources and cross-checked against transmission line endpoints; a small
# number remain approximate and are flagged in the source file.
name,lat,lng,kv,supply_area,owner,planned,source
Acacia,-33.88352,18.53541,400,Western Cape,,no,dbsa
Acornhoek,-24.59822,31.05371,275,Limpopo,,no,osm
Aggeneis,-29.29758,18.80338,400,Northern Cape,,no,shp
Agulhas,-34.1278,20.33857,400,Western Cape,,yes,dbsa
Alpha,-26.80541,29.39713,765,Mpumalanga,,no,osm
Anderson,-25.80237,27.94837,275,North West,,no,dbsa
Ankerlig,-33.67368,18.46069,400,Western Cape,,no,dbsa
Apollo,-25.91944,28.27609,533,Gauteng,,no,dbsa
Aquila,-30.88,24.29,400,Hydra Central,NTCSA (handed over),no,dbsa+press
Ararat,-25.56296,27.18693,275,North West,,no,osm
Ariadne,-29.73017,30.38981,400,Kwazulu Natal,,no,osm
Aries,-29.4944,20.79392,400,Northern Cape,,no,shp
Arnot,-25.94361,29.78791,400,Mpumalanga,,no,osm
Artemis,-28.6782,25.71746,400,Free State,,yes,dbsa
Athene,-28.75898,31.92705,400,Kwazulu Natal,,no,osm
Atlas,-26.75995,28.11719,400,Gauteng,,no,dbsa
Aurora,-33.01006,18.23056,400,Western Cape,,no,manual
Avon,-29.41718,31.16075,275,Kwazulu Natal,,no,osm
Bacchus,-33.81426,19.40482,400,Western Cape,,no,osm
Benburg,-26.10817,28.35506,275,Gauteng,,no,osm
Bernina,-26.44786,27.66166,275,Gauteng,,no,osm
Beta,-28.7219,25.70316,765,Free State,,no,dbsa
Bighorn,-25.68241,27.50835,400,North West,,no,osm
Bloedrivier,-27.89549,30.57599,275,Kwazulu Natal,,no,osm
Bloukrans,-28.76034,29.8517,275,Kwazulu Natal,,no,osm
Borutho,-23.90204,28.97654,400,Limpopo,,no,osm
Boundary,-28.72396,24.8801,275,Northern Cape,,no,shp
Brenner,-26.27704,28.27789,275,Gauteng,,no,osm
Buffalo,-32.98747,27.80723,132,Eastern Cape,,no,dbsa
Camden,-26.61888,30.09056,400,Mpumalanga,,no,dbsa
Carmel,-26.42318,27.30586,275,North West,,no,osm
Chatty,-33.835563,25.521188,132,Eastern Cape,,no,pluscode-corroborated
Chivelston,-27.83895,29.99108,400,Kwazulu Natal,,no,osm
Craighall,-26.09415,28.01553,275,Gauteng,,no,dbsa
Croydon,-26.14058,28.19491,275,Gauteng,,no,osm
Danskraal,-28.56655,29.83392,275,Kwazulu Natal,,no,osm
Dedisa,-33.74199,25.67729,400,Eastern Cape,,no,osm
Delphi,-32.01233,26.80649,400,Eastern Cape,,no,osm
Dinaledi,-25.57957,27.85381,400,Gauteng,,no,osm
Diphororo,-25.56317,28.10025,275,Gauteng,,yes,dbsa
Drakensberg,-28.56602,29.0832,400,Kwazulu Natal,,no,dbsa
Droerivier,-32.40894,22.53356,400,Western Cape,,no,manual
Durban South,-29.951188,30.944438,275,Kwazulu Natal,,no,pluscode
Duvha,-25.96006,29.33649,400,Mpumalanga,,no,dbsa
Dwaalboom,-24.81212,26.83741,132,Limpopo,,no,dbsa
Dwarsberg,-24.90779,26.767,400,North West,,no,dbsa
Eiger,-26.30776,28.11601,275,Gauteng,,no,osm
Emkhiweni,-25.876,29.403,400,Mpumalanga,,yes,dbsa
Eros,-30.60819,29.90706,132,Eastern Cape,,no,manual
Esselen,-26.00556,28.2686,275,Gauteng,,no,osm
Etna,-26.38503,27.87585,275,Gauteng,,no,osm
Everest,-27.99226,26.90036,275,Free State,,no,osm
Ferrum,-27.72931,23.05694,275,Northern Cape,,no,manual
Fordsburg,-26.20785,28.02624,275,Gauteng,,no,osm
Foskor,-24.0281,31.12658,275,Limpopo,,no,osm
Galenia,-32.93434,22.5583,400,Western Cape,,no,manual
Gamma,-31.67829,23.41007,765,Hydra Central,,no,osm
Gariep,-30.623961,25.504032,132,Free State,,no,eskom
Garona,-28.73922,21.99521,275,Northern Cape,,no,shp
Georgedale,-29.78273,30.61341,275,Kwazulu Natal,,no,osm
Glockner,-26.60455,27.98683,400,Gauteng,,no,osm
Gourikwa,-34.16521,21.96069,400,Western Cape,,no,dbsa
Grassridge,-33.72031,25.63156,400,Eastern Cape,,no,manual
Groeipunt,-29.51646,18.26848,220,Northern Cape,,no,osm
Gromis,-29.59969,17.18046,220,Northern Cape,,no,shp
Grootvlei,-26.77036,28.49462,400,Mpumalanga,,no,osm
Gumeni,-25.7508,30.23098,400,Mpumalanga,,no,osm
Harvard,-29.10385,26.1058,275,Free State,,no,shp
Hector,-29.77773,30.66118,400,Kwazulu Natal,,no,osm
Helios,-30.49961,19.56037,400,Northern Cape,,no,shp
Hendrina,-26.03151,29.59832,400,Mpumalanga,,no,osm
Hera,-26.44746,27.6619,400,Gauteng,,no,dbsa
Hermes,-26.90206,26.78439,400,North West,,no,shp
Highveld,-26.91893,27.8929,275,Free State,,no,dbsa
Hillside,-28.76888,32.02583,132,Kwazulu Natal,,no,dbsa
Hydra,-30.71438,24.08685,400,Hydra Central,,no,osm
Illovo,-30.07577,30.8334,275,Kwazulu Natal,,no,osm
Impala,-28.76681,31.94706,275,Kwazulu Natal,,no,manual
Incandu,-27.72057,29.97832,400,Kwazulu Natal,,no,osm
Ingagane,-27.84628,29.98503,275,Kwazulu Natal,,no,osm
Ingula,-28.27854,29.58713,400,Kwazulu Natal,,no,dbsa
Invubu,-28.68883,32.03629,400,Kwazulu Natal,,no,dbsa
Juno,-31.608,18.44423,400,Western Cape,,no,shp
Jupiter,-26.22956,28.11476,275,Gauteng,,no,osm
Kappa,-33.1072,20.01026,400,Western Cape,,no,osm
Kendal,-26.08644,28.97014,400,Mpumalanga,,no,dbsa
Kestrel,-30.68656,24.11451,400,Hydra Central,,yes,dbsa
Khanyazwe,-25.50235,31.52815,275,Mpumalanga,,no,dbsa
